model,rev,fw_ver,fw_url,fsize,fdate,sha1,md5
DAP-2660,A,v1.15rc093,ftp://files.dlink.com.au/products/DAP-2660/REV_A/Firmware/Firmware_v1.15rc093/DAP2660-firmware-v115-rc093.bin,10297536,1474461120.0,8dcb7d9b60285e1222caa1990c30e8d575ae9c16,6c0cae04b6edbb93b315856b13d9b2f5
DAP-2660,A,v1.13rc074,ftp://files.dlink.com.au/products/DAP-2660/REV_A/Firmware/Firmware_v1.13rc074/DAP2660-firmware-v113-rc074.bin,8982720,1458748260.0,212938749ea1717ba06c4ae05bc027c70fe4ae43,deac1a3850829188a0ba95f03f6712cf
DAP-2360,A,v2.01.RC012,ftp://files.dlink.com.au/products/DAP-2360/REV_A/Firmware/Firmware_1.11rc062/DAP2360-firmware-v111-rc062.zip,5322553,1389350580.0,d7eb9a5320adfd1af32184806d913e8abc0475bd,10a1bc9e93a337a2f7fdd6f1055a7200
DAP-2660,A,v1.11rc046,ftp://files.dlink.com.au/products/DAP-2660/REV_A/Firmware/Firmware_v1.11rc046/DAP2660-firmware-v111-rc046.bin,8982720,1436465760.0,8f921ad0c3f3f3c47fadde92ef345668d559e423,ab22c7e1e61c26defe899d9668c4be20
DAP-2660,A,v1.10rc043,ftp://files.dlink.com.au/products/DAP-2660/REV_A/Firmware/Firmware_v1.10rc043/DAP2660-firmware-v110-rc043.bin,8982720,1434126120.0,54db8c8dcef6402a49ee6644723bca29cc7bdee2,bc5579724255b7351d4608d68a6e50e2
DAP-2310,B,,ftp://files.dlink.com.au/products/DAP-2310/REV_B/Firmware/Firmware_2.10rc036/DAP2310B-firmware-v210-rc036.bin,10285248,1475576220.0,f029a0f40ee3cac258119c864d6c36e48d998a56,9ad830125ee477be4639764dc5de7850
DAP-2660,A,v1.06rc025,ftp://files.dlink.com.au/products/DAP-2660/REV_A/Firmware/Firmware_v1.06rc025/DAP2660-firmware-v106-rc025.bin,8732864,1422026100.0,66b3633e50d2ac7b2daa078735c625f1fa1401ec,65def4eb4f78aa94e5e8c349425f3c95
DAP-2660,A,v1.00rc010,ftp://files.dlink.com.au/products/DAP-2660/REV_A/Firmware/Firmware_v1.00rc010/DAP2660-firmware-v100-rc010.bin,7925952,1397239800.0,aa9813ef41b93bceb5f4636a065a253266d442a6,6d7a9310ed7470ac198d643f436f380d
DAP-2690,B,,ftp://files.dlink.com.au/products/DAP-2690/REV_B/Firmware/Firmware_3.16rc100/DAP2690b-firmware-v316-rc0100.bin,7585984,1459507320.0,ae441345833d25a554ab6d8d9230fdad21da7a7b,175b7a02558aa74c859f671fd9a407d7
DAP-2690,B,,ftp://files.dlink.com.au/products/DAP-2690/REV_B/Firmware/Firmware_3.00rc013/DAP-2690_B1_firmware_v3.00rc013.zip,5577822,1360327740.0,1dfa466ee2a6d2410be543d69ba085c08cc09ccb,b6c324837de0f602aa841ad0053ec985
DAP-2690,B,,ftp://files.dlink.com.au/products/DAP-2690/REV_B/Firmware/Firmware_3.11rc078/DAP2690b-firmware-v311-rc078.bin,7405760,1421927220.0,8d5123a55e4ecf1c3e60d254488fa30db0e300f6,576cdf0b690b3fc4945b20e0a11fe95d
DAP-2690,A,v2.02,ftp://files.dlink.com.au/products/DAP-2690/REV_A/Firmware/Firmware_v115-rc049/DAP-2690_Firmware_v1.15rc049.zip,6958156,1351875120.0,54e6058f644c5f6c151cea2bb54f4e75fc7fd834,12dccad1086aad8f93507ca118122bde
DAP-2690,A,v2.02,ftp://files.dlink.com.au/products/DAP-2690/REV_A/Firmware/Firmware_v102-rc020/DAP2690-firmware-v102-rc020.zip,6853104,1325692080.0,d13af6edc3707fb141032be5dfe3cf1b11033f38,0d0c217a44db5d937c7e14e9d015e404
DAP-2695,A,,ftp://files.dlink.com.au/products/DAP-2695/REV_A/Firmware/Firmware_1.20.075/DAP2695-firmware-v120-rc075.bin,10416320,1474460820.0,a0500084ce00b2a445235be3aacc02e8aebca0ba,a5cb8ce7f9845682d8a659e2602fb177
DAP-2695,A,,ftp://files.dlink.com.au/products/DAP-2695/REV_A/Firmware/Firmware_1.17.063/DAP2695-firmware-v117-rc063.bin,9056448,1458748080.0,b810407e3237aef28d00b19c5c1edbf7cd9b3a2a,91b096915333639cf7b5a76165269f8a
DAP-2695,A,,ftp://files.dlink.com.au/products/DAP-2695/REV_A/Firmware/Firmware_1.16.053/DAP2695-firmware-v116-rc053.bin,9060544,1436366880.0,c3dfe9c36705a33ad3d6d834e01b52ddcab3a729,3db6abce2ee75a836de282ac2edc909d
DAP-2695,A,,ftp://files.dlink.com.au/products/DAP-2695/REV_A/Firmware/Firmware_1.15.050/DAP2695-firmware-v115-rc050.bin,9060544,1434125400.0,81cd8342341104f989130147a1a9dadb867b5cb7,ad369481a57b0f98038a6a632296c93f
DAP-2695,A,,ftp://files.dlink.com.au/products/DAP-2695/REV_A/Firmware/Firmware_1.11.044/DAP2695-firmware-v111-rc044.bin,8810688,1422032280.0,3aa3373b4e1a2f3ca1779b058a7c1bd4b97a7abe,037c2b904c866a43b97b0025936cbaca
DAP-3220,A,v1.10,ftp://files.dlink.com.au/products/DAP-3220/REV_A/Firmware/Firmware_v1.10/DAP3220_Firmware_v110-rc331.zip,1579934,1240936260.0,1906cafc1bc682aa0c1fcc07472b50e9a603a11f,f10d531afb3c8928373ec4ea4b8039a2
DAP-3662,A,v1.02rc031,ftp://files.dlink.com.au/products/DAP-3662/REV_A/Firmware/Firmware_v1.02rc031/DAP3662-firmware-v102-rc031.bin,8990912,1460658300.0,7b0d16a4fe88429643eb27777a0a256c85a0c52b,818947101dc3ea1a1683acae797d495a
DAP-3690,A,v1.00r03,ftp://files.dlink.com.au/products/DAP-3690/REV_A/Firmware/Firmware_1.10.064/dap3690_firmware_v1.10_rc064.bin,7561408,1420737060.0,6b2d9d12dae251922f052bfd6b3e26f109ed27f3,6e130800f67ee7a7ada7ef003deb5781
