model,rev,fw_ver,fw_url,date,fsize,sha1,md5
DWL-6700AP,,4.4.0.7,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1500413&fileName=DWL-6700_FW_v4_4_0_7.bin&fileSize=169608.0;9007130.0;,2015-07-24 00:00:00,9007130,5ff770c1fecf336096f3b2fd16a0bd2f37d8721b,386bb3a8f012e9cde9276b8c4c1d1619
DWL-3600AP,,4.1.0.8,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1200046&fileName=DWL-3600AP_DWL-6600AP_FW_v4.1.0.8.zip&fileSize=236072.0;1.4510066E7;,2014-06-05 00:00:00,14510066,cccc6f03db18ec90ca90694942ff33595ffb61e2,4c6e51a34b1a2824d14fb06af3dc01cd
DWL-6600AP,,4.1.0.8,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1200210&fileName=DWL-3600AP_DWL-6600AP_FW_v4.1.0.8.zip&fileSize=236072.0;1.4510066E7;,2014-06-05 00:00:00,14510066,cccc6f03db18ec90ca90694942ff33595ffb61e2,4c6e51a34b1a2824d14fb06af3dc01cd
DWC-1000,,1.01,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1100540&fileName=DWC-1000_A1_FW_v1.01B67_WW&fileSize=395067.0;2.9278208E7;,2014-06-05 00:00:00,29278208,d9cd514e5cf92c905fe57369cb1b78f2f4c8e608,894c539a38d839ee56c07128b99926f6
DWL-G122,,2.3.3.0,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1000112&fileName=DWL-G122%20E1%20for%20MAC%20driver%20V2.3.3.0&fileSize=64512.0;5242880.0;,2014-06-05 00:00:00,5242880,1cadf266a8580d4c199839e2ae38d40ce7c7c583,2b0977a46b35430bbde7f36fc6d182a5
DWL-G520 A,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR0700410&fileName=D-Link%20AirPlus%20G%20G520+A%20V5.10%20Build62224%205OS-S0026.zip&fileSize=4381.0;7875295.0;,2014-06-05 00:00:00,7875295,01b62a539cc35842b2da022b30e0b2ab3062d992,73dcce66c62a02ee99e96e01f776a615
DWL-G520 A,,5.30,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR0900420&fileName=DWL-G520+A_C2_V5.30_S0027.zip&fileSize=66048.0;1.065389E7;,2014-06-05 00:00:00,10653890,e771d72762aa67559e91e44dccd2c3b5d2342136,ecb419e4cc12194b58d2acfc982b7fa1
DWL-G650 A,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR0700411&fileName=D-Link%20AirPlus%20G%20G650+A%20V5.10%20Build62224%205OS-S0026.zip&fileSize=4374.0;7768543.0;,2014-06-05 00:00:00,7768543,1064d413bcf25c32213f70d2f75538592017a01f,e8268634cda99ab0cae1bca5d8558da2
DWA-182,,1.01,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1300422&fileName=20130605_DWA-182_S0029.zip&fileSize=72642.0;8.2399862E7;,2014-06-05 00:00:00,82399862,3cd04d7ee7ff57fbf95226faab22461dce5bb361,1b726122b31c1976c03157a48e211f79
DWL-G680,,1.40,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR0700344&fileName=DWL-G680_v1.40.zip&fileSize=28160.0;6968796.0;,2014-06-05 00:00:00,6968796,76fae8b77b68b2962365510583a280c6ac08ff3e,cb4f5766cf02ef1cb41dea918aa48ddc
DWL-G650 A,,5.30,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR0900450&fileName=DWL-G650+A_E2_%20V5.30_S0028.zip&fileSize=66048.0;1.0643733E7;,2014-06-05 00:00:00,10643733,9c326fe5a25f0b0a5a4e7052c263af63b4736d81,0731935f8f177d7da1c4c18210e68729
DWL-G122,,3.60,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR0900369&fileName=DWL-G122_C1_Utility_v3.60(EU)_S0038_EU.zip&fileSize=71680.0;2.063228E7;,2014-06-05 00:00:00,20632280,5d9f2eb7141f2071d5b5c361704f62d76a0a747e,1c1432fb0329fcf9c9c7eadd98eee310
DWL-G520,,4.70,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR0900459&fileName=G520_15Countries%20Utility%20V4.70(E)%20Build923%20S0032.zip&fileSize=72192.0;1.7965144E7;,2014-06-05 00:00:00,17965144,658c3c2c2c9211fe1e155ae42a3988f2ab15ac2f,e448425dfc06bad89557aca5dbaede5b
DWL-G630,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR0800537&fileName=20081020-DWL-G630-S0035(18).zip&fileSize=46592.0;1.5184959E7;,2014-06-05 00:00:00,15184959,3a2cbf9edf4459e6fa12ca1228fdb9a48479998c,8cd82273f5c0d35da05bd14ce5604567
DWP-2360,,2.00,http://tsd.dlink.com.tw/temp/PMD/13182/DLINKAPMII2360BDWP.mib,2014-07-02 00:00:00,1161,2f31b82746e9f57d39323db4ed91e78a903b4dd4,d096f4e8b8da7be388d3e3904f42b2f8
DWP-2360,,2.01,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1400616&fileName=DLINKAPMII2360BDWP.mib&fileSize=382561.0;8102080.0;492544.0;,2014-12-30 00:00:00,382561,100ac75c9bf032e840d84a8f1c114342d203a116,f800203108e43fca644b54344905007d
DWP-2360,,2.02,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1500026&fileName=DLINKAPMII2360BDWP.mib&fileSize=382561.0;8646848.0;485376.0;,2015-02-09 00:00:00,382561,8ff85534f0701b4cea4650f40cf8f52d7166f667,9bfa3ff7a44dfa1c80fa1d24772c3fb9
DWP-2360,,2.05,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1500330&fileName=DLINKAPMII2360BDWP.mib&fileSize=8859840.0;382561.0;427520.0;,2015-09-03 00:00:00,382561,55e7651caaf8fabeeb4aef69010a8112c1afdcc2,5b97a6e8046e444365715589a1a49c78
DWP-2360,,2.10,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1600378&fileName=wapn25_dkbs_dwp2360b_v210_rc020.config&fileSize=1.0338496E7;382533.0;33740.0;427520.0;,2016-11-01 00:00:00,33740,8defe9e96f1b15564fc61ecdb7f7499a43d6fe13,8145b9b831dfffc89f13ecdf671a8ba0
DWP-2360,,2.10,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1600378&fileName=DLINKAPMII2360BDWP.mib&fileSize=1.0338496E7;382533.0;33740.0;427520.0;,2016-11-01 00:00:00,382533,3f9cc2eade76b9c68a5a1d047c5ef64b75605532,d51ab052e1e5cd1e7a0982e12a15f347
DWP-2360,,2.10,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1600378&fileName=DWP-2360B%20Firmware%20Release%20Note%20from%20v2.05%262.06%20to%20v2.10.doc&fileSize=1.0338496E7;382533.0;33740.0;427520.0;,2016-11-01 00:00:00,427520,c4c1ef79d8945a43dfdda97fe2c67d43b5ffbc70,f597baa975f7922bdf9f431f94611f2f
DWP-2360,,2.00,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1400354&fileName=DWP2360b-firmware-v200-rc003.bin&fileSize=382561.0;7864512.0;473600.0;,2014-07-02 00:00:00,7864512,1ba73ef8f7b4734973acca70be0014710730513f,d3949eaa505948a0ee58d29d0c2e7ae7
DWP-2360,,2.01,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1400616&fileName=DWP2360b-firmware-v201-rc009.bin&fileSize=382561.0;8102080.0;492544.0;,2014-12-30 00:00:00,8102080,bc2b43134ea71de0a3880a507c7aeb74ba436060,97957bded49aba188f0a22b884f143f3
DWP-2360,,2.02,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1500026&fileName=DWP2360b-firmware-v202-rc012.bin&fileSize=382561.0;8646848.0;485376.0;,2015-02-09 00:00:00,8646848,8d02dc463b54530439a4ad87a7b01ff8b8244c4e,0f892c0607bf27b4c3401f27fe4b440f
DWP-2360,,2.06,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1600175&fileName=DWP2360b-firmware-v206-rc018.bin&fileSize=382561.0;8859840.0;490496.0;,2016-04-20 00:00:00,8859840,ede774fa915adc3129244f5e81577916844a59ba,abd5120039c6a0f9a6b62506723a0d6b
DWR-730,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1500771&fileName=DWR-730%20B2%202.22_EU%20Test%20Report.xlsx&fileSize=87046.0;12835.0;5.6876115E7;,2015-11-04 00:00:00,12835,b06dff76bb7783332a18b2744548879a6795682b,5d942f4821a88dfdd2368be773ca69aa
DWR-730,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1200247&fileName=DWR-730%20A1_v1.00EU.17.img&fileSize=55296.0;1.612228E7;,2014-06-05 00:00:00,16122280,2cb85b1951b9e02fafdb4f9327dec10a6337b734,bfe1955bedc32a43ff348da3d1fad59c
DWR-730,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1200754&fileName=DWR-730%20A1%20T%20FW%201.01EU.02_FTR_20121206.img&fileSize=55296.0;1.9453628E7;,2014-06-05 00:00:00,19453628,fd587ed1ad7e29052e5977c4f13cdc5d32f5a9b9,e13d536740aa0c609791d47ad8440ade
DWR-730,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1400385&fileName=DWR-730%202.03_WW.tar&fileSize=88161.0;2.8442624E7;,2014-10-07 00:00:00,28442624,c68a5e6401acbea0c99cfb8292395445e8b193bc,0e10ac1aee553f60d36f9ce3dbcfb4ca
DWR-730,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1400286&fileName=DWR-730%20B1%202.02_WW%20.tar&fileSize=87361.0;2.8311552E7;,2014-10-07 00:00:00,28311552,6ed335ef7b8ed1017e545e8e3bd96ac69e9a02dd,1fc0252fa5947c9ce7588255e8ebfb57
DWM-221,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1500735&fileName=DWM-221%20B1%202.0.3TW%20%20(DTLW9_D600B_04A0_0300_V1.0.1.0_151014).exe&fileSize=77783.0;6.8570528E7;,2015-12-17 00:00:00,68570528,5147266b35cefe54a07cf5786b2adc55adbed0d9,7d42d9b60602270b7949117d8f65f1fc
DWM-221,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1500753&fileName=DWM-221%20B1%201.0.6CL%20DTLW5_D600B_02A0_0700_V1.0.2.6_151020.exe&fileSize=207226.0;6.8665168E7;,2015-12-17 00:00:00,68665168,475ec8133564cced4b315d04b25916132dea6cf6,e5536f9d0b7d349f191725cf028705e5
DWR-730,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1400399&fileName=DWR-730%20B1%20V2.05_IN.tar&fileSize=88983.0;2.8442624E7;,2014-10-07 00:00:00,28442624,fd7d7cb8ca6e9aadf8670e8ac743daa94fba9f0c,b612e748f549b0bcb6ab0e835902e555
DWM-221,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1500265&fileName=DWM-221%20B1%20FW%202.0.7TM%20DTLW4_D600B_02A0_0700_V1.0.2.3_150512.exe&fileSize=480172.0;6.50058E7;,2016-06-09 00:00:00,65005800,8a0546a8a367eb70b67b9cc0e9738a352c177862,c1f9a0a8ac76dd64ce7a8db932e70374
DWR-921,,2.01,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1400591&fileName=D-Link_DWR-921B1_Release%20Note_20140918_V2%2001b03.xlsx&fileSize=4587259.0;15509.0;,2014-10-16 00:00:00,15509,056da6e2ce9d9e9bf5ecf5af9f2946256e85d274,231abdf59228733a69389283c4c9e160
