model,fver,fname,furl,fdate,fsize,sha1,md5
P-660RU-T3 v3,V3.40(BOR.0)C0,P-660RU-T3 v3_V3.40(BOR.0)C0.zip,ftp://ftp2.zyxel.com/P-660RU-T3_v3/firmware/P-660RU-T3 v3_V3.40(BOR.0)C0.zip,2009-07-01 00:00:00,1021197,7b8b216bede5397a00eb789dc80453a1e5afc428,deadcf54e37df125bfc1178033d1b994
P-662H-D1,3.40(AGZ.9)C0,P-662H-D1_3.40(AGZ.9)C0.rar,ftp://ftp2.zyxel.com/P-662H-D1/firmware/P-662H-D1_3.40(AGZ.9)C0.rar,2010-02-05 00:00:00,2466287,9f2d6dcb673455f3478b604f888aaf4711115af4,fb76d6c3269bef6e52997de2108f9c22
P-793H v3,1.00(AAYO.0)C0,P-793H v3_1.00(AAYO.0)C0.zip,ftp://ftp2.zyxel.com/P-793H_v3/firmware/P-793H v3_1.00(AAYO.0)C0.zip,2016-10-18 00:00:00,11661991,fae020fd9ad913f1efbfcffc5fd5f00a289c1282,9bf96ac8859ad9f2286ef5070b06401e
P-794H,S04.01(AC.0)C0,P-794H_S04.01(AC.0)C0.zip,ftp://ftp2.zyxel.com/P-794H/firmware/P-794H_S04.01(AC.0)C0.zip,2011-05-02 00:00:00,2352367,614e3ad9b4db89afb0b800262df28726b7e509ff,ff286a44d6458e2a5f96e0ee56d12e64
P-870H-51a v2,1.01(AWZ.4)C0,P-870H-51a v2_1.01(AWZ.4)C0.zip,ftp://ftp2.zyxel.com/P-870H-51a_v2/firmware/P-870H-51a v2_1.01(AWZ.4)C0.zip,2011-04-20 00:00:00,4312695,65872beea982b7e82da2005f8ee5acbcd1f0c592,4405d2dd1f9db32c50be470677fd059b
P-870H-53A v2,1.01(TUH.0)C0,P-870H-53A v2_1.01(TUH.0)C0.zip,ftp://ftp2.zyxel.com/P-870H-53A_v2/firmware/P-870H-53A v2_1.01(TUH.0)C0.zip,2011-03-18 00:00:00,4095003,6bff3b2ba9149a70e754f31b40855b257fac4492,66a35637df988803e420e96a17a744d3
P-870HN-51D,1.10(CBB.0)C0,P-870HN-51D_1.10(CBB.0)C0.zip,ftp://ftp2.zyxel.com/P-870HN-51D/firmware/P-870HN-51D_1.10(CBB.0)C0.zip,2011-05-13 00:00:00,5372705,513dafc5c3fff5745c9ef58bd41c1d50829c990e,e6eb6ba119a73a074f94ce704cdcb722
P-870HN-53b,112TUM0C0,P-870HN-53b_112TUM0C0.rar,ftp://ftp2.zyxel.com/P-870HN-53b/firmware/P-870HN-53b_112TUM0C0.rar,2011-04-01 00:00:00,6243921,7daee92279bbe3a54b89feed0e195a6f52420ca5,d07c106b770f06cb1b87fc494401066f
P-870M-I3 v2,1.0.7,P-870M-I3 v2_1.0.7.zip,ftp://ftp2.zyxel.com/P-870M-I3_v2/firmware/P-870M-I3 v2_1.0.7.zip,2007-12-18 00:00:00,2246687,3f6c43cc58a9ecf83639db0e6bd25e5c9640d4a7,8001df385072cf6a4b27ee8aba8e2784
PLA4275,1.00(AALG.0)C0,PLA4275_1.00(AALG.0)C0.zip,ftp://ftp2.zyxel.com/PLA4275/firmware/PLA4275_1.00(AALG.0)C0.zip,2014-04-08 00:00:00,4517411,995a7472430d4661545e1980b6c8bd85d8576c72,d162f58eddb9b1db4026af2c1189f0dd
PMG1005-T20A,1.00(AAXC.0)C0,PMG1005-T20A_1.00(AAXC.0)C0.zip,ftp://ftp2.zyxel.com/PMG1005-T20A/firmware/PMG1005-T20A_1.00(AAXC.0)C0.zip,2016-08-24 00:00:00,7051816,27f20f6af7233870fa5e17217881ac42743b745d,0b7180247e8b77ea94f954cdc857d230
RGS200-12P,1.00(ABEP.0)C0,RGS200-12P_1.00(ABEP.0)C0.zip,ftp://ftp2.zyxel.com/RGS200-12P/firmware/RGS200-12P_1.00(ABEP.0)C0.zip,2016-11-17 00:00:00,4459706,1a90f2574fa955231fde13437af3431a8602dc2d,61eb4951ca71523018fbe4dc4c6b1c06
SBG3600-NB00,1.00(AAZE.2)C0,SBG3600-NB00_1.00(AAZE.2)C0.zip,ftp://ftp2.zyxel.com/SBG3600-NB00/firmware/SBG3600-NB00_1.00(AAZE.2)C0.zip,2016-01-14 00:00:00,88296570,05ff51b5cc9a5c07dc057176ef608c94edfee4fa,22b9dbe4306cffa1b555c3924e3f3495
UAG715,2.50(AACG.0)C0,UAG715_2.50(AACG.0)C0.rar,ftp://ftp2.zyxel.com/UAG715/firmware/UAG715_2.50(AACG.0)C0.rar,2012-08-17 00:00:00,46891748,f4c0f2e3351e49b6ecb87e1cfbdcd2808701fc85,4a04d0ec49f9b6cd6e1c60c37993a714
