model,fver,fname,furl,fdate,fsize,sha1,md5
C2,V-2.x.1.32-20160817,2.x.1.32 for HD Cameras.zip,http://www.foscam.com/Uploads/ProductFiles/2016-11-14/2.x.1.32 for HD Cameras.zip,2016-11-14 07:53:52+00:00,60031882,439f5a25b98c5c5a6675572b579cfc3b55ace7ce,53a98093bd5b94dc9a910016cf4409c9
FI9828P,V-2.x.1.132-20151104,2.x.1.132 for FI9828P V2-20151104.zip,http://www.foscam.com/Private/ProductFiles/2.x.1.132 for FI9828P V2-20151104.zip,2015-11-19 08:10:45+00:00,8600463,b8e0d4e1764363e8ca316273f526c63497ba985e,212aa7845eb5b05a2db10615f9242621
"C1, C1-Lite",V-2.x.2.37-20160825,2.x.2.37 for HD cameras-20160825.zip,http://www.foscam.com/Private/ProductFiles/2.x.2.37 for HD cameras-20160825.zip,2016-08-25 09:43:25+00:00,13032301,c119d3a28d07024ade14ea1aed10ed51549c5382,c78de29b09fc86c249ad0703ac7a18fe
FosBaby,V-2.x.2.21-20160526,2_x_2_21_FosBaby_FosBabyP1.zip,http://www.foscam.com/Private/ProductFiles/2_x_2_21_FosBaby_FosBabyP1.zip,2016-05-26 07:23:36+00:00,34538132,04b4b3ece97c010a18882c498a89175072590ab0,db44f16fd2b8c7a3482c288cf688d393
"FN3004H
FN3104H FN3109H",V-2.3x.x.13-20160307,FN3004H_FN3104H_FN3109H_2.3x.x.13_20160307.zip,http://www.foscam.com/Private/ProductFiles/FN3004H_FN3104H_FN3109H_2.3x.x.13_20160307.zip,2016-03-23 01:06:57+00:00,14327489,aaf146bf457d7a957782bdfb11a09513d7792937,afc6cd590a3359378d335d3f4a272aca
FI8620W,Plug-in for IE,63550106178187500098141321.zip,http://www.foscam.com/Private/ProductFiles/63550106178187500098141321.zip,2014-10-28 07:16:18+00:00,2111219,8c17f220ccd04f7841901238c6832baf626e5a86,00b020d595992526bb069295bc5650d0
FI9821W,V-2.x.2.27-20160811,2.x.2.27 for HD Cameras-20160811.zip,http://www.foscam.com/Uploads/ProductFiles/2016-11-30/2.x.2.27 for HD Cameras-20160811.zip,2016-11-30 09:05:22+00:00,34132710,0657d7878317e16cd1d456e5885da43144cb4e5b,b864ef5abdef7a3368ceae0d30f96735
FI9826P,2.x.1.119,FosIPC_A_patch_ver2.x.1.119_1_20150408.rar,http://www.foscam.com/Private/ProductFiles/FosIPC_A_patch_ver2.x.1.119_1_20150408.rar,2016-08-24 07:39:11+00:00,1075788,dba2dfc3c85bb38170214f7f686bf5378d0fc8f1,30a9c9cddfaddb8f89159779742f92cc
FI9826P,V-2.x.1.119,635627178569375000710888730.zip,http://www.foscam.com/Private/ProductFiles/635627178569375000710888730.zip,2015-03-23 06:33:04+00:00,12420872,b9c39dcd597501d50a16f2a822f1357a3ef0dd0e,2bd58a95d6f94819e3fb212e3c389360
FI9826P,V-2.x.1.118,6355484553960937501913952201.zip,http://www.foscam.com/Private/ProductFiles/6355484553960937501913952201.zip,2014-12-30 06:19:08+00:00,12389838,d9f4268ed48fa743a973d6785dcaeb22750a785f,4f253f1c3f5ccb9968beace3f69db1f2
FI9826P,V-2.x.1.10,2.x.1.10-20140516 for all HD cameras.zip,http://www.foscam.com/Private/ProductFiles/2.x.1.10-20140516 for all HD cameras.zip,2014-08-26 07:48:08+00:00,7222741,d665036ef9e3c5619fc125abc30d831a1484ab54,4f3c5adb843081bbdb73688fb5d8f17d
FI9826P,V-2.11.2.8,FI9826P-2.11.2.8-20140410.zip,http://www.foscam.com/Private/ProductFiles/FI9826P-2.11.2.8-20140410.zip,2014-08-26 07:24:02+00:00,12941228,424fe72d2042432c5596c55471a93c33790a6af9,6b91703b72f756babdfd13201525dc19
FI9826W,V-2.x.1.119,6356271806271875001148071634.zip,http://www.foscam.com/Private/ProductFiles/6356271806271875001148071634.zip,2015-03-23 06:35:29+00:00,12420872,b9c39dcd597501d50a16f2a822f1357a3ef0dd0e,2bd58a95d6f94819e3fb212e3c389360
FI9826W,V-2.x.1.118,635548454798750000955568418.zip,http://www.foscam.com/Private/ProductFiles/635548454798750000955568418.zip,2014-12-30 06:22:07+00:00,12389838,d9f4268ed48fa743a973d6785dcaeb22750a785f,4f253f1c3f5ccb9968beace3f69db1f2
FI9826W,V-2.11.2.8,FI9826W-2.11.2.8-20140409.zip,http://www.foscam.com/Private/ProductFiles/FI9826W-2.11.2.8-20140409.zip,2014-08-26 07:26:07+00:00,12944111,0317e8fc530fae94659ef10b05667f0f0d0f5d8d,998457470caea0f76fe6fb59961631a1
FI9826W,V-2.11.1.5,FI9826W-2.11.1.5-20140120.zip,http://www.foscam.com/Private/ProductFiles/FI9826W-2.11.1.5-20140120.zip,2014-11-21 03:24:52+00:00,17510302,13bb0db1efe6a9e205cf41edf68d0a3aa109eafc,63e679be4cba622f6770b4067b928346
FI9826W,V-1.11.1.21,FI9826W-1.11.1.21-20131128.zip,http://www.foscam.com/Private/ProductFiles/FI9826W-1.11.1.21-20131128.zip,2013-12-16 02:04:33+00:00,16999801,f3d8b0f2841cf511fd453db75e38af345ee2e973,0f3b5fc8429ea9d9b44d64198a9bbf1a
