model,rev,fw_ver,fw_url,fsize,fdate,sha1,md5
DAP-1522,A,1.21,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1522/REVA/DAP-1522_FIRMWARE_1.21.ZIP,3096315,1373500800.0,ef0836c5326321e9e5ca3dd8ce812ab5bf15cdef,ae64bb50c6adb985cb806e37dbee870b
DAP-1522,A,1.10,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1522/REVA/DAP-1522_FIRMWARE_1.10.ZIP,3059260,1373500800.0,07a0b4c102403acf3b2858a228b2816773819f3a,671a19fb28959026c7fc5c3878bb4a77
DAP-1522,A,1.20,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1522/REVA/DAP-1522_FIRMWARE_1.20.ZIP,3093568,1373500800.0,9aa1d16fdf7ad948d055500bb780bfd8b963b608,f23b78564b20094df94e3404654bdaac
DAP-1522,A,1.01,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1522/REVA/DAP-1522_FIRMWARE_1.01.ZIP,3005209,1373500800.0,e76308a35fcd55115a2073231ccd2f99c8606e85,bd1bcf01f96e3d5575db06dfe089e7af
DAP-1522,A,1.02,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1522/REVA/DAP-1522_FIRMWARE_1.02.ZIP,3034369,1373500800.0,5764539f4b8398a815aa7a52b33ef95b009de77c,1ee2bbbca9a8ad4fb07aefda13972d07
DAP-1522,A,1.00,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1522/REVA/DAP-1522_FIRMWARE_1.00.ZIP,3228917,1373500800.0,9920aac2705a8bb19dc4efa88f8dc79a1bdca095,22d46a5054f08db729a414c973eb900c
DAP-1522,B,2.07B01,ftp://ftp2.dlink.com/PRODUCTS/DAP-1522/REVB/DAP-1522_REVB_FIRMWARE_2.07B01.ZIP,3768273,1425600000.0,7455d522723331b387c87e84bcef29e7259d336d,e1c69005fc2455aa6ec8e20e58a894a7
DAP-1522,B,2.01,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1522/REVB/DAP-1522_REVB_FIRMWARE_2.01.ZIP,3533996,1373500800.0,338aa8fb0a3ae7c489b6c92da1a491a6d7c4b06d,7da4bd4c67889d0d5d3315a45f6c4a8c
DAP-1522,B,2.03,ftp://ftp2.dlink.com/PRODUCTS/DAP-1522/REVB/DAP-1522_REVB_FIRMWARE_2.03.ZIP,3537590,1373500800.0,f2db4873eb3533661b33c00ca93cd8534038c76c,53e6e9f700817949b608481311f15c4b
DAP-1522,B,2.00,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1522/REVB/DAP-1522_REVB_FIRMWARE_2.00.ZIP,3515377,1373500800.0,a4ea1b4f159085e832597a76c1281c9caefeacb5,8a8b9c924a2733d97bb81b1935a422d7
