model,fver,fname,furl,fdate,fsize,sha1,md5
i12,V1.0.0.10(3805)_EN,FCC Version US_i12V1.0BR_V1.0.0.10(3805)_TDC01.rar,http://down.tendacn.com/uploadfile/I12/FCC Version US_i12V1.0BR_V1.0.0.10(3805)_TDC01.rar,2016-07-19 08:56:34+00:00,3649714,267d9897eb3def413ed93bb1d162e73f986e26d6,8e6673754297ab278f9e7d7750390e2c
AP4,V1.0.0.11(2224)_EN,US_AP4V1.0BR_V1.0.0.11(2224)_EN_TDE01.rar,http://down.tendacn.com/uploadfile/201401/AP4/US_AP4V1.0BR_V1.0.0.11(2224)_EN_TDE01.rar,2016-03-29 07:02:23+00:00,3825380,313e74df2f32c1b59915ed61d5d582eecd2e3931,29744af08fea120bb81fb2ccb5992783
4G630,V1.0.0.29_EN,US_4G630V1.0BR_V1.0.0.29_EN_TDE01.rar,http://down.tendacn.com/uploadfile/2015/Firmware/US_4G630V1.0BR_V1.0.0.29_EN_TDE01.rar,2016-05-26 09:53:29+00:00,3997797,49aa7fcecac8b9650d1b55f2f23dce000833c399,93867dbc9ca4e6ab0139ba7cd388ab2b
C50s,System,C50s V4.0 System firmware.rar,http://down.tendacn.com/uploadfile/2016/C50S/C50s V4.0 System firmware.rar,2016-08-17 10:25:07+00:00,4103669,a40184b196cc697dcecc3eea290dd4be32d81e27,8e1021858f21463412a06cf2baafb896
W6,V1.0.0.4(2015)_EN,US_W6V1.0BR_V1.0.0.4(2015)_EN_TDC01.rar,http://down.tendacn.com/uploadfile/2016/Firmware/W6/US_W6V1.0BR_V1.0.0.4(2015)_EN_TDC01.rar,2016-03-10 09:17:37+00:00,3711053,871eab94671cce56ec2e1addc89dfa0e2af607d4,9daec45c040639c0c609a6a98ab124af
AP5,V1.0.0.13(3920)_EN,FCC Version US_AP5V1.0BR_V1.0.0.13(3920)_TDE01.rar,http://down.tendacn.com/uploadfile/AP5/FCC Version US_AP5V1.0BR_V1.0.0.13(3920)_TDE01.rar,2016-07-19 08:42:19+00:00,3842226,08418045b465f4fa48784977eb5c7f1f41be1290,5013b790edb384ffbcd073f36c02cd93
F303,V5.07.63.1_ruï1⁄4For,US_F303V1.0Br_V5.07.63.1_ru_OST03.rar,http://down.tendacn.com/uploadfile/201401/F303/US_F303V1.0Br_V5.07.63.1_ru_OST03.rar,2015-07-20 09:45:42+00:00,1085541,2787c77593dc17e80a2165725ddaa3e094b33850,c01efb0bea0bf971d48cc71fabb3f56f
N4,V5.07.49_EN,US_N4V2.0BR_V5.07.49_en.rar,http://down.tendacn.com/uploadfile/201401/N4/US_N4V2.0BR_V5.07.49_en.rar,2015-08-17 08:49:42+00:00,942171,a092d03f6a916f06bc5e47b17f9034d322d7e675,2117e9eef1de43921931987059d97f02
F300,V5.07.63.1_ruï1⁄4For,US_F300V1.0Br_V5.07.63.1_ru_OST03.rar,http://down.tendacn.com/uploadfile/201401/F300/US_F300V1.0Br_V5.07.63.1_ru_OST03.rar,2015-07-20 09:45:26+00:00,1085541,c409658b82109142a17c447b540da37e3f4543c9,83fc271a366104975ff1c24c9771530b
F3,V11.13.01.06_EN,US_F3V1.0br_V11.13.01.06_en_TDE01.rar,http://down.tendacn.com/uploadfile/201401/F3/US_F3V1.0br_V11.13.01.06_en_TDE01.rar,2015-08-17 09:08:46+00:00,985948,606e5f7d271ba80cb2fb0264b4fa0d253ec2e912,093554a69bfd984e53980240290403c5
N301,V5.07.63.1_ruï1⁄4For,US_N301V1.0Br_V5.07.63.1_ru_OST03.rar,http://down.tendacn.com/uploadfile/201401/N301/US_N301V1.0Br_V5.07.63.1_ru_OST03.rar,2015-07-20 09:45:14+00:00,1085541,0400adeb72faf6eaddbf54e34db8f75b8d218b15,fbab5f5be3194d5615f764370c4dd68a
N150,V5.07.63.1_ruï1⁄4For,US_N150V1.0Br_V5.07.63.1_ru_OST03.rar,http://down.tendacn.com/uploadfile/201401/N150/US_N150V1.0Br_V5.07.63.1_ru_OST03.rar,2015-07-20 09:45:00+00:00,1085541,a5a4172106135d018bcc5838a7d5486066a4f1ee,03e7ea7616aceef75eb05f26f10166fd
W308R,V5.07.63.1_ruï1⁄4For,US_W308RV1.0Br_V5.07.63.1_ru_OST03.rar,http://down.tendacn.com/uploadfile/201401/W308R/US_W308RV1.0Br_V5.07.63.1_ru_OST03.rar,2015-07-20 09:45:52+00:00,1085542,80417fa8fb4446894161df9f7352b7ed0e8d547c,d69c24b36dd808e481bd87f582b5b6fe
i12,V1.0.0.4(2084)_EN,US_i12V1.0BR_V1.0.0.4(2084)_(EN)_TDE01.rar,http://down.tendacn.com/uploadfile/2016/Firmware/I12/US_i12V1.0BR_V1.0.0.4(2084)_(EN)_TDE01.rar,2016-03-09 09:31:12+00:00,3715242,1d16b1fdc3b89a2bc5929df7c6b904020dc11f43,85b9435c0f2c19a7ba31a9b2069e52de
i6,V1.0.0.5(2120)EN,US_i6V1.0BR_V1.0.0.5(2120)EN_TDE01.rar,http://down.tendacn.com/uploadfile/2016/Firmware/I6/US_i6V1.0BR_V1.0.0.5(2120)EN_TDE01.rar,2016-03-09 09:09:25+00:00,3711142,fcdc115157476af60c044ed171c79c75bdbaeff8,e7f9326b65e9e87b4d0b241885da19ef
W900A,V2.0.0.4(1217)_EN,US_W900AV1.0BR_V2.0.0.4(1217)_EN_TDE01.rar,http://down.tendacn.com/uploadfile/2016/Firmware/W900A/US_W900AV1.0BR_V2.0.0.4(1217)_EN_TDE01.rar,2016-03-10 09:38:59+00:00,4926218,d814a7d5bd1400117370631b4e1c475c36a21e56,77a7831b42b9a47eb550457ae091054a
F303,V5.07.62_ru(For,US_F303V1.0_Br_V5.07.62_ru_RU01.rar,http://down.tendacn.com/uploadfile/201401/F303/US_F303V1.0_Br_V5.07.62_ru_RU01.rar,2015-06-26 09:21:22+00:00,1085539,e3dea5beec481eb49d41075cea1b553069ffdad7,c7c1010fc8669589955e1d4e82889aa4
E101ï1⁄4V2.0ï1⁄4,V1.10.0.1_EN,US_E101V2.0br_V1.10.0.1_en_TDE01.rar,http://down.tendacn.com/uploadfile/2015/Firmware/US_E101V2.0br_V1.10.0.1_en_TDE01.rar,2015-12-03 09:04:16+00:00,3778412,5d0dc1fbf10747aab02c899bbaad5f4bff05cdda,33729742689bbb981368c04c8192120f
FH456V1.0,V10.1.1.1_EN,US_FH456V1.0BR_V10.1.1.1_en_TDE.rar,http://down.tendacn.com/uploadfile/201401/FH456/US_FH456V1.0BR_V10.1.1.1_en_TDE.rar,2015-06-25 06:36:02+00:00,876643,4476d946ec983da733d6398875b59a134d1e5370,4625b7f55954949fe83a6afe9ca9818a
W308R,V5.07.62_ru(For,US_W308R_Br_V5.07.62_ru_RU01.rar,http://down.tendacn.com/uploadfile/201401/W308R/US_W308R_Br_V5.07.62_ru_RU01.rar,2015-06-26 09:21:18+00:00,1085536,5961d0a7cfe2d9d32a4771c2fcef0119ba2349f7,21c66d53dffb80a7b716c86e03221830
N150,V5.07.63_ru(For,US_N150V1.0Br_V5.07.63_ru_RU01.rar,http://down.tendacn.com/uploadfile/201401/N150/US_N150V1.0Br_V5.07.63_ru_RU01.rar,2015-07-02 06:27:58+00:00,1024098,ae35515650f5f92f3ddad135a03077fcfa1cd693,a5f70d48b19dec13ea051fe71d8fe146
P1002,V3.1.8,US_P1002PV1.0BR_V3.1.8_10417.rar,http://down.tendacn.com/uploadfile/201401/P1002/US_P1002PV1.0BR_V3.1.8_10417.rar,2015-04-23 02:07:58+00:00,335974,c26b50421fa6dd7a52231be2dbb7d4394a4a04c0,e5a16e800df9113e8363650a08951ea5
P200,V2.3.6c_EU,US_P200V1.0&V2.0BR_V2.3.6c_EU.rar,http://down.tendacn.com/uploadfile/201401/P200/US_P200V1.0&V2.0BR_V2.3.6c_EU.rar,2015-04-23 02:04:30+00:00,232655,c16cd9f9c3618659acac366ee822aab2fe1c1c8d,cce1cf01e29e9a49d93ed724281ed80f
FH1202,V1.2.0.18_EN,US_FH1202V1.0br_V1.2.0.18_en_LAS01.rar,http://down.tendacn.com/uploadfile/2016/US_FH1202V1.0br_V1.2.0.18_en_LAS01.rar,2016-06-18 07:25:37+00:00,7234943,382e2808bb5f5eb038cd2807d292c3de25e64f8c,c9d24cad3b29a52be4cd3badaa60d68d
P1000,V3.1.8_US,US_P1000PV1.0BR_V3.1.8.rar,http://down.tendacn.com/uploadfile/201401/P1000/US_P1000PV1.0BR_V3.1.8.rar,2015-04-23 02:07:54+00:00,336001,afdd9c47f407ee90348ce6aa7b5b5c54ec6cf253,360b06a189509e2fce96b2c0151adf9a
O6,v1.0.0.5(4051),O6V1.0BR_V1.0.0.5(4051)_CE Version.rar,http://down.tendacn.com/uploadfile/2016/O6/O6V1.0BR_V1.0.0.5(4051)_CE Version.rar,2016-08-17 08:00:54+00:00,7418022,38a5a982171de60a3caa608fc6cfd25d0e130129,94524cf0d4815ef9d93d63a03d1dd1c1
P200,V2.3.6c_US,US_P200V1.0&V2.0BR_V2.3.6c_US.rar,http://down.tendacn.com/uploadfile/201401/P200/US_P200V1.0&V2.0BR_V2.3.6c_US.rar,2015-04-23 01:56:56+00:00,232615,93fcd6a131c6486170f5564167c9a8a46fa14a6b,2e151db1b938960f0eeef977f2521359
F456,V1.0.0.9(8097)_EN,US_F456V1Br_V1.0.0.9(8097)_en_TD.rar,http://down.tendacn.com/uploadfile/201401/F456/US_F456V1Br_V1.0.0.9(8097)_en_TD.rar,2016-03-11 03:15:28+00:00,5950864,7202a74115a961737b7d1bdc79ccc62f65f05382,890f5854f09599041eb7768d07d28637
O6,v1.0.0.8(4100),O6V1.0BR_V1.0.0.8(4100)_High Power Version.rar,http://down.tendacn.com/uploadfile/2016/O6/O6V1.0BR_V1.0.0.8(4100)_High Power Version.rar,2016-08-17 08:01:54+00:00,7418030,e3194f8e7d63140d25cede5ac4015ea54eedf7de,c021455781e50bb8bfd5061c8c35dc48
N301,V5.07.62(For,US_N301V1.0Br_V5.07.62_ru_03_new.rar,http://down.tendacn.com/uploadfile/201401/N301/US_N301V1.0Br_V5.07.62_ru_03_new.rar,2015-05-14 08:34:20+00:00,1085540,00e4ab9fdde6f80da0f420506c117b0ede096142,7fa9875aa3f9a8840bdc41d1e93596f7
F300,V5.07.62ï1⁄4For,US_F300V1.0Br_V5.07.62_ru_03_new.rar,http://down.tendacn.com/uploadfile/201401/F300/US_F300V1.0Br_V5.07.62_ru_03_new.rar,2015-05-14 08:34:24+00:00,1085540,fbc55fe5946040f7e301708017255e203ae7f453,861aca6f73e102bd8a8b785a337b2d9f
NH326(V2.0),V1.0.3.1_EN,US_NH326V2.0BR_V1.0.3.1_EN_TD.rar,http://down.tendacn.com/uploadfile/201401/NH326/US_NH326V2.0BR_V1.0.3.1_EN_TD.rar,2015-04-14 02:39:22+00:00,876641,95bf574a3f7cb6f3f38bef07a672b1de0b2b9d5a,a9396f15262482bf35f4447a9839ea41
