model,hw_rev,fver,furl,fdate,fsize,sha1,md5
LAPAC2600,1.0,1.0.01.000,http://downloads.linksys.com/downloads/firmware/FW_LAPAC2600_1.0.01.000.gpg.img,2016-08-05 01:08:09+00:00,11002504,8f84efc07bbcfc1d8a218398c5501d7f9f36c6b8,7e0d710cb637efd785aa0470a163e498
LAPN300,1.0,1.1.00.002,http://downloads.linksys.com/downloads/firmware/FW_LAPN300_LAPN600_1.1.00.002.gpg.img,2016-11-03 02:51:32+00:00,6215409,7cdde3b3daa2d137854f7e2f9eea27647eb7003a,4c413384761dfe9122f80641e14eff07
LCAB03VLNOD,1.0,1.0.1.05,http://cache-www.belkin.com/support/dl/FW_Linksys_1.0.1.05.bin,2015-05-21 05:41:03+00:00,14622840,8255cb4ac93199b1a6f97beac3d3d363800c8b38,080635e0d96f26d6b8007d203a3b6c46
LAPAC1750PRO,1.0,1.0.7.007,http://downloads.linksys.com/downloads/firmware/FW_LAPAC1750PRO_1.0.7.build.007.tar,2016-09-07 03:13:54+00:00,30423040,1ff83ea8b29a1cf2419ee362b459c00867eb90a9,adde3e4d2cbdbd1ef7720d5777fd9cb3
LGS308,1.0,1.1.0.21,http://downloads.linksys.com/downloads/firmware/1224700852720/LGS300-11021.ros,2014-10-28 18:59:29+00:00,7065037,b97ee8ef67f57c64ec1d5274828a16791f0799fd,167521fa7ac381800d5c392a6e45eb86
LGS528P,1.0,1.1.0.27,http://cache-www.belkin.com/support/dl/MBs_LGS500_V1_1.zip,2015-04-28 08:57:18+00:00,769007,ca6dfea973e48ffca0c236360768b37f4140c969,a938bdba44f753be201063e236393be5
LGS528,1.0,1.1.0.27,http://cache-www.belkin.com/support/dl/LGS500-11027.ros,2015-04-28 08:55:58+00:00,7140991,9fdf591dc5588e4ae5413d363591b34a8224ab51,9f825059326b3715f6fbd0dd80aed543
LGS552,1.0,1.1.0.27,http://downloads.linksys.com/downloads/firmware/MBs_LGS500_V1_1.zip,2014-11-17 06:30:17+00:00,769007,ca6dfea973e48ffca0c236360768b37f4140c969,a938bdba44f753be201063e236393be5
LGS552,1.0,1.1.0.27,http://downloads.linksys.com/downloads/firmware/1224701930837/LGS500-11027.ros,2014-11-14 01:40:22+00:00,7140991,0855dbf1cf2b3e62b627a3788679964ef376d0f1,9129abdbf0dfb02b838300a53fe3b402
LRT214,1.0,1.0.5.03,http://cache-www.belkin.com/support/dl/LRT2x4_v1.0.5.03_20160222.bin,2016-04-06 01:15:30+00:00,25989120,f25fc3795ae0bac2aee63a9e5b00b38df51cf115,9c40af7bcfcaa352df644ee88637345d
LNR0208C,1.0,1.0.01.04,http://downloads.linksys.com/downloads/firmware/1224703272375/LNR0208C_1.0.01.04_082014.bin,2015-02-02 02:20:18+00:00,61210624,6b10ee8e4ea6f7f6bfaa1a5284e726747571ada1,a3ddc4b215cbf4619fb86886fa270b4e
M10,2.0,2.0.05,http://downloads.linksys.com/downloads/firmware/FW_M10_2.0.05.001_20160426.bin,2016-05-18 01:03:25+00:00,3842080,35782939ac7794ee04ed201001a73c9933eaba22,2108a462d92bec1ea73878df4be22416
M20,1.0,1.0.05,http://downloads.linksys.com/downloads/firmware/FW_M20_v1.0.05.005_201604022.bin,2016-05-11 02:28:00+00:00,3797024,582206d3f3e7d66c3c836eb9963e8ffe268a41e9,18851c0c11a708fa6e987bbc0569c376
PLE500,1.0,5.3.0.01,http://downloads.linksys.com/downloads/firmware/FW_PLE500_5.3.0.01.RC1.nvm,2014-10-28 18:59:41+00:00,472528,684f757a405cb3a34bbc40bdaf70200c8b101514,cbd6b09ed3005dcec7773d82f3ecb8ad
PLEK400,1.0,2.1.9,http://downloads.linksys.com/downloads/firmware/1224674618381/FW_PLE400_2.1.9.ggl,2014-10-28 18:59:24+00:00,1003520,aa647ce58c4c6f078f698bd299d28165ba492f5b,1c3c4b28ada22bb837d57f04099f592d
PLSK400,1.0,2.1.9,http://downloads.linksys.com/downloads/firmware/1224680541956/FW_PLE400_2.1.9.ggl,2014-10-28 18:59:26+00:00,1003520,aa647ce58c4c6f078f698bd299d28165ba492f5b,1c3c4b28ada22bb837d57f04099f592d
PLSK400,1.0,2.1.9,http://downloads.linksys.com/downloads/firmware/1224680541980/FW_PLS400_2.1.9.ggl,2014-10-28 18:59:20+00:00,1003520,0141bdcc62f6842171ce1d8c16bffb35aab71846,c2028ebb2ad61bb3e2815b709701b971
PLW400,1.0,1.0.07.016,http://downloads.linksys.com/downloads/firmware/1224681917277/FW_PLW400_1.0.07.016.bin,2014-10-28 18:59:19+00:00,4785152,5dea15f582f1b8759d0cebed5d0f55b6c24a88e7,a9110d2b494732f487e350bdf90a2a0a
RE2000,1.0,1.0.02,http://downloads.linksys.com/downloads/firmware/1224697770300/FW_RE2000_v1.0.02.006_20140422.bin,2014-10-28 18:59:37+00:00,3681958,e046acd3d309a6b6a0d74ff9fe450c2e6da679ba,0af59a9f37642221d87dd7903611a2d8
RE1000,2.0,2.0.03,http://downloads.linksys.com/downloads/firmware/FW_RE1000v2_v2.0.03.001_20160512.bin,2016-06-20 04:15:09+00:00,3419370,04dbef4c65d98d47128d700fc4cb43daee68adf6,9c7dd85150c222b21d5a65d7b8e93e9d
RE1000,1.5,1.0.02,http://downloads.linksys.com/downloads/firmware/1224668719651/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,2014-10-28 18:59:23+00:00,3067936,7af0595623ccc7c76dc75eec75a686c38ffcd07a,1efa7cda5be8ec835d9f27b396068b23
RE2000,2.0,2.0.00,"http://downloads.linksys.com/downloads/firmware/FW_RE2000v2_v2.0.00.072_20131011,0.bin",2014-10-28 18:59:19+00:00,3470259,9d07e2691b739f7f9d8e90da779ee79db0a43032,a5a1e168d96d2f8c1a23dfe0c3a301b7
RE3000W,1.0,1.0.00.006,http://cache-www.belkin.com/support/dl/FW_RE3000W_v1.0.00.006_20140401.bin,2015-06-01 06:11:46+00:00,3449327,9a194324d6fb973ea7d72371578970b39706425a,d37c6617f1d5a129da4f383342ec036a
