model,fver,fname,furl,fdate,fsize,sha1,md5
ipTIME N604 Black,9.98.4,n604bl_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n604bl_kr_9_984.bin,2016-12-21 04:03:38+00:00,3441916,412eea0b95dbec24aa7e57d9bdb282c48382770d,68df2ce71ade96bc3bd72be13e19ccf1
ipTIME N104 Black,9.98.4,n104bl_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n104bl_kr_9_984.bin,2016-12-21 04:03:37+00:00,3441916,dcfcc1b746ef37e02bc712172e79549d34a75e4d,15b7a2b1c9ec7754560bc5e106bfe984
ipTIME A3004ns-dual,9.98.4,a3004nd_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a3004nd_kr_9_984.bin,2016-12-21 04:03:36+00:00,13496320,7f1234f595192b9f8ef3ff3a13ee0bf7ef8a4923,fad0d8e9d3967d14ff6810f8490ca6ab
ipTIME A3004-dual,9.98.4,a3004d_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a3004d_kr_9_984.bin,2016-12-21 04:03:35+00:00,3817472,993e5951db8b751ade11ce28b2b8e39a66d01365,a4b120f225ec1c0a4d8761514b834b36
ipTIME A3,9.98.4,a3_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a3_kr_9_984.bin,2016-12-21 04:03:35+00:00,4216257,b35c410385966bb1c996322e56983724dbfa8982,c1d2f86124c72739fec65975d5190410
ipTIME N604Tplus,9.98.4,n604t_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n604t_kr_9_984.bin,2016-12-21 04:03:38+00:00,3698688,e369fafcefc73525ef37b0e664ecc9bc12bb6dd8,662a14995a146d7fc99d03aa8f9fc9e4
ipTIME N604T,9.98.4,n604t_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n604t_kr_9_984.bin,2016-12-21 04:03:38+00:00,3698688,e369fafcefc73525ef37b0e664ecc9bc12bb6dd8,662a14995a146d7fc99d03aa8f9fc9e4
ipTIME A104ns,9.98.4,a104ns_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a104ns_kr_9_984.bin,2016-12-21 04:03:34+00:00,7823360,2769917e0ba2a4d2008ad2383d281d3fa1312f30,d15d4d77833a8c90cfe53f26715db471
ipTIME A104,9.98.4,a104_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a104_kr_9_984.bin,2016-12-21 04:03:34+00:00,3768320,8585c4368acd2ccde1e7782930b3e8c673e30331,e1cd5ed1a213f99714abc05317abd988
ipTIME A1004V,9.98.4,a1004v_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a1004v_kr_9_984.bin,2016-12-21 04:03:33+00:00,3678208,a940ebe3142d5be7631ab8c637004f60c7e1de99,8bfff9355ea34e694dfed03475f89c0b
ipTIME A1004NS,9.98.4,a1004ns_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a1004ns_kr_9_984.bin,2016-12-21 04:03:33+00:00,12423168,94c7987a9d150f2b34d7510e55a6f95ecab76a80,1afbe0f3306615498122a2fabb75f847
ipTIME A1004,9.98.4,a1004_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a1004_kr_9_984.bin,2016-12-21 04:03:32+00:00,3678208,7632c1951199c1d8c27442fada9d9ef4cf602155,b0c052ab0cb6f224f2da6648700298ba
