model,rev,fw_ver,fw_url,date,fsize,sha1,md5
ALL,DCS-2310L,1.07,ftp://ftp.dlink.ca/PRODUCTS/DCS-2310L/DCS-2310L_REVA_FIRMWARE_1.07.00.BIN,2015-10-15 00:00:00,,d5db7d49455d90376441bc17150f32709f8252f0,8271471b4ad503f91d986e32428760da
A,DCS-2330L,1.14.03,ftp://ftp.dlink.ca/PRODUCTS/DCS-2330L/DCS-2330L_REVA_FIRMWARE_1.14.03.BIN,2016-10-03 00:00:00,,a22f4c3fa16d1c87ee9a3890e4d91121208606a5,dde9a6bfe4018cdb438488f6727a849c
A,DCS-2330L,Intermediary,ftp://ftp.dlink.ca/PRODUCTS/DCS-2330L/DCS-2330L_REVA_FIRMWARE_1.02.05.BIN,2014-12-24 00:00:00,,2a2e306067446c5ab86e95353688b7c0d1c59edd,a7ec750f51ddfa160f2d9dfe636f66c5
A,DCS-2630L,1.03,ftp://ftp.dlink.ca/PRODUCTS/DCS-2630L/DCS-2630L_REVA_FIRMWARE_1.03.03.BIN,2016-06-14 00:00:00,,105e4ab984ff817fbbc5994e6cf63b911a294966,5d0e8b3f7441fd2a7462a7a395d61a9c
ALL,DCS-2332L,1.07,ftp://ftp.dlink.ca/PRODUCTS/DCS-2332L/DCS-2332L_REVA_FIRMWARE_1.07.00.BIN,2015-10-15 00:00:00,,77ae7d68e575068fe64808170b18d7cffda7fca2,98fa4814e8a8b540ced42da2c4cd8326
ALL,DCS-2332L,1.05,ftp://ftp.dlink.ca/PRODUCTS/DCS-2332L/DCS-2332L_REVA_FIRMWARE_1.05.BIN,2015-03-30 00:00:00,,5926612909516d326ac2bf31fd0257d60436c805,b1088d74a7a33272b7e2627b5be9d8d3
A,DCS-2530L,1.01.02,ftp://ftp.dlink.ca/PRODUCTS/DCS-2530L/DCS-2530L_REVA_FIRMWARE_1.01.02_BETA.BIN,2016-08-26 00:00:00,,ebf23600439292cf38eea455a80356052d4af77c,f01abd8161f11e18c208be508b1440bf
ALL,DCS-3220,1.04,ftp://ftp.dlink.ca/PRODUCTS/DCS-3220/DCS-3220_FIRMWARE_1.04.PKG,2013-05-01 00:00:00,,a93cc1eb2fca293f4f453b5e6ad9e8e6e3c36cfd,128c2e96b9508c9190566e23f61f8520
A,DCS-3220G,1.01,ftp://ftp.dlink.ca/PRODUCTS/DCS-3220G/DCS-3220G_REVA_FIRMWARE_1.01.PKG,2013-05-01 00:00:00,,d5087f021819499ec2848d5f7bf0a66f76b233ee,022c237c17a60ed1e939e66d266ebce4
B,DCS-3220G,2.02,ftp://ftp.dlink.ca/PRODUCTS/DCS-3220G/DCS-3220G_REVB_FIRMWARE_2.02.PKG,2013-05-01 00:00:00,,b0295ed5788dd1ed613bdff6bfda3a33d7c246b7,c09450eb5d116622c7c544a0b57a70b6
ALL,DCS-3112,1.14,ftp://ftp.dlink.ca/PRODUCTS/DCS-3112/DCS-3112_REVA_FIRMWARE_1.14.00.bin,2015-10-15 00:00:00,,61fdd629160e03c0482b1442430939afe0639001,727b1573672957de128132ed59fea45b
ALL,DCS-3410,1.02.7712,ftp://ftp.dlink.ca/PRODUCTS/DCS-3410/DCS-3410_FIRMWARE_1.02.7712.ZIP,2013-05-01 00:00:00,,a2941b4e47eeb48b3544c0ea7455900579c68ad9,de5ae37e4c80652b36dd85065d95c8e5
