model,fw_ver,fileName,fw_url,fw_date,fileSize,sha1,md5
PTV3000,2.4.53,PTV3000_V2.4.53.sbin,http://www.downloads.netgear.com/files/GDC/PTV3000/PTV3000_V2.4.53.sbin,2014-09-16 12:42:52+00:00,27263856,c6c12c4ad12becb07222314738b7345001b89137,f04d699cbd3e926d4c99dd1f43f4f0e7
PTV3000,2.2.9,PTV3000_V2.2.9.zip,http://www.downloads.netgear.com/files/GDC/PTV3000/PTV3000_V2.2.9.zip,2013-02-13 02:02:56+00:00,22084772,0d5b7c59c40a24ee1feb3db77a5441b88a3f2e3f,8b7f9365d4c9230de32bb2ea510d7015
PTV3000,2.2.7,PTV3000_V2.2.7.zip,http://www.downloads.netgear.com/files/GDC/PTV3000/PTV3000_V2.2.7.zip,2013-02-08 03:42:41+00:00,22084622,a87e8a526ac9e315a29e216ee05207660fe1c323,3680c7d9acd16d340b3736b0b79c5472
PTV3000,2.1.5,PTV3000_V2.1.5.zip,http://www.downloads.netgear.com/files/GDC/PTV3000/PTV3000_V2.1.5.zip,2013-02-03 07:50:49+00:00,31255461,b734b7fa67199847c7174b1d87464e2ad1af5ebe,ffb3776ded973479f98d2c866ab1b2b6
SC101,4.23.0,sc101_firmware_4_23_0.zip,http://www.downloads.netgear.com/files/GDC/SC101/sc101_firmware_4_23_0.zip,2011-12-07 07:16:25+00:00,589755,5c2909e892b59f0b0f40e994c8f5b4ee6196120f,0e5a5e2734f04bef2696d34a5b532380
SC101T,1.1.3,SC101T Firmware 1.1.3.zip,http://www.downloads.netgear.com/files/GDC/SC101T/SC101T Firmware 1.1.3.zip,2012-05-15 03:11:38+00:00,923651,279b2541171d1a011d19466eff242d7998fbe698,5a1b8f779152b7b5e95e6e3ce73ef84e
LG2200D,0.1.2.74,D15G7_CPU_V74_01_20150427.zip,http://www.downloads.netgear.com/files/GDC/LG2200D/D15G7_CPU_V74_01_20150427.zip,2015-08-07 06:35:27+00:00,2396832,6b230d9d3f5d47ab61f3c61f2b6fe23a45978127,a47c907ef46512c98bcfa352d0267d2f
LG2200D,1.0.0.57,LG2200D-V1.0.0.57_1.0.40.zip,http://www.downloads.netgear.com/files/GDC/LG2200D/LG2200D-V1.0.0.57_1.0.40.zip,2015-08-05 08:15:02+00:00,7985532,26ca0ed58ec82a7351fe40108c0d9079b58f2255,70194b4be768380f49574fdf8af503b7
LG6100D,02.02.84,LG6100D-Firmware-02_02_84.zip,http://www.downloads.netgear.com/files/GDC/LG6100D/LG6100D-Firmware-02_02_84.zip,2014-09-16 10:45:13+00:00,54347856,998630c59b743ec8967e0afb5a27dc201f4dbd07,238bd9cbb8b408d7625b1a6a6ff639d4
MBM621,1.1.3,MBM621 Firmware Version 1.1.3.zip,http://www.downloads.netgear.com/files/GDC/MBM621/MBM621 Firmware Version 1.1.3.zip,2012-05-21 04:23:12+00:00,3385851,4a7b776d44191bc5de57d7e3f7e3a261c60384bd,779b54767918cf55cd8ad0f5ce365bb0
