model,fver,furl,fname,fdate,fsize,sha1,md5
RS3617xs,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS3617xs_15047.pat,DSM_RS3617xs_15047.pat,2017-02-21 00:00:00,225372160,753af57f8a83f0c736dfd79dd00c8ba1aad38386,5d841481f23057539e34625329191f8f
VS60,1.2-0145,https://global.download.synology.com/download/VSF/release/1.2/0145/VS60_0145.pat,VS60_0145.pat,2013-02-07 00:00:00,16097280,cf91e58658f119f2369093268d0404a9a6ec7580,90e8a86f2f3bb2e48b71e6e41eaf27ee
DS1511+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS1511%2B_15047.pat,DSM_DS1511%2B_15047.pat,2017-02-21 00:00:00,199925760,25848b20c5c5576c64a27be5fc3e00c919d1a6b8,fd4d7f7da0246ff1c633a8adcbdb766a
USB Station,1.0-1,https://global.download.synology.com/download/DSM/release/Other/0027/DSM_USB_Station_0027.zip,DSM_USB_Station_0027.zip,2007-05-02 00:00:00,3343954,029ee463c54400c7891dd6fc7818030f759ea92d,67e06eb20ef7533a81d9d9b78e4990f2
RS2414+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS2414%2B_15047.pat,DSM_RS2414%2B_15047.pat,2017-02-21 00:00:00,214190080,bd2a614bb8427e945c2e1785cdbadd9d9ec36d11,c5a43ac6df0c4697360b879dcfd54f07
VS240HD,2.4.0-1509,https://global.download.synology.com/download/VSF/release/2.4/1509/VS240HD_1509.pat,VS240HD_1509.pat,2016-10-21 00:00:00,83599360,3bc8f6ae28a446ea9fd4df41507ebea84368541c,5c33b67f7207d62f2b47a311d261c4f7
DS1815+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS1815%2B_15047.pat,DSM_DS1815%2B_15047.pat,2017-02-21 00:00:00,223488000,4bd80730fb34e093f0c539758c04135291e1f063,f2e6eb389f022caca48793fb5bcfab75
RS18016xs+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS18016xs%2B_15047.pat,DSM_RS18016xs%2B_15047.pat,2017-02-21 00:00:00,227205120,b4a717fa99a9c1721650309aaf05e0abfad076ea,0467b4c667ec4c6b771ef875b62cb841
RS2416+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS2416%2B_15047.pat,DSM_RS2416%2B_15047.pat,2017-02-21 00:00:00,223488000,5cb98554682dcbae3e3cd92d3d130ad7ba06b991,33098a3cbdd54c5bf46b597edcb0a750
RS3412xs,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS3412xs_15047.pat,DSM_RS3412xs_15047.pat,2017-02-21 00:00:00,225003520,eb2863b022b9682852d721ce58200854efe79f4b,c1cda7abe008aeb6b4afd443485ea1de
RS2414RP+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS2414rp%2B_15047.pat,DSM_RS2414rp%2B_15047.pat,2017-02-21 00:00:00,214190080,4d23ec964a5b4d39becb5aa785876e4fc9f7a60f,55a7d7d3fa29998e20b5ab724464ad25
RS3413xs+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS3413xs%2B_15047.pat,DSM_RS3413xs%2B_15047.pat,2017-02-21 00:00:00,228003840,f54f7df63c50da3cdca16855765872afe39b79b6,48f76022957a02b8a65db30d346f2555
