model,fw_ver,fw_url,file_size,file_date,file_sha1,file_md5
,,ftp://ftp.dlink.eu/Products/dfe/dfe-580tx/archive/driver_software/DFE-580TX.zip,147797,2014-12-09 00:00:00,81bf29fba0ffd67f777bdf96635f739feb9b1b89,1ab7eb369d68764a3ea88ec8560123a9
,,ftp://ftp.dlink.eu/Products/d/d-viewcam/driver_software/D-ViewCam_sw_2-0-18_eu_multi_20160406.zip,25622915,2016-04-12 09:07:00,df235cf562ea4876fa871a8723b63e53db9dccf2,749e75d55a0a1ac61a8f8cda788d51bc
,,ftp://ftp.dlink.eu/Products/shareport utility/shareport utility/driver_software/SharePort Utility_sw_1-20_eu_multi_20150702.zip,2377236,2015-07-02 00:00:00,a8e8202fecf9b7e83d1eafac144466822b169f74,fc63184895ebe8383387e472c785bb15
,,ftp://ftp.dlink.eu/Products/chrome/chrome-dna/driver_software/Chrome-DNA_sw_Chrome_eu_en_20160506.zip,451616,2016-06-29 11:07:00,7971d01adb7fafcbe55c7f0600f804441479ebf2,ddb63325c476c6fcec43940a6a1b8ab3
,,ftp://ftp.dlink.eu/Products/d/d-viewcamdevicepack/driver_software/D-ViewCamDevicePack_fw_3-6-2 1-5-7_eu_multi_20140623.zip,107401542,2014-12-08 00:00:00,db2ee4344025a2a23c5a1d980df741e523ca163e,9e30238ca1e62fc4b9f8b2d7addd391a
,,ftp://ftp.dlink.eu/Products/dwl/dwl-ab650/archive/driver_software/DWL-AB650.zip,7602275,2014-12-09 00:00:00,2fdef355076b56e13458518b099a0cdfca8c2ba2,9d44610f3404486fedde3b6a8125b720
,,ftp://ftp.dlink.eu/Products/dge/dge-530t/archive/driver_software/DGE-530T.zip,889353,2014-12-09 00:00:00,b0fa6c03d2c04140c1fec2d08b24d54f3b628d86,dd22e7abf66a5c7049935644cc94469f
,,ftp://ftp.dlink.eu/Products/d/d-viewcam device/driver_software/D-ViewCam Device_sw_1-6-2_all_multi_20141218.zip,10301394,2014-12-23 00:00:00,f9d6dea564da6162350fa0905e3ad5ac362b890f,39458b23d9617ca186058999c3f0a78b
,,ftp://ftp.dlink.eu/Products/aparraytool v1/aparraytool v1/driver_software/APArrayTool v1_sw_1-00-r07_eu_en_20150121.zip,729731,2015-01-23 00:00:00,865106dbb31e673d391c5b7cd5dc31fc9cc68dc1,92b4c4de3ee69cbadf6d666a85c1cc05
,,ftp://ftp.dlink.eu/Products/d/d-viewcam/driver_software/D-ViewCam_sw_1-0_eu_multi_20150527.zip,193018550,2015-07-02 00:00:00,0b17e039d3be0c53b7598b89c39671fdbb89d541,3bab3a5c7c31c92f4b788935e583ffe1
,,ftp://ftp.dlink.eu/Products/d/d-viewcam/driver_software/D-ViewCam_Sw_DV_3-6-3_DP_1-6-2_all_multi_20141218.zip,107566756,2014-12-23 00:00:00,557b4dacc3dbb8233af1c76a6c73c803b9eb7b6d,d4f161b7677cdaf823352a5b75d3683a
,,ftp://ftp.dlink.eu/Products/du/@archive/du-c300/driver_software/du-c300.zip,721725,2014-12-09 00:00:00,e1924b33e93d2e98796998a482bd9288d4124fe4,3f1378f3e52ca797326a03f2feb5b9eb
,,ftp://ftp.dlink.eu/Products/dhp/dhp/driver_software/DHP_508AV_fw_revA1_1-10_all_en_20160321.zip,398337,2016-04-08 09:16:00,494d09365eb4a3df885cf024af9803cffaa760ec,4c337aff682d282c128e23948ff9fd29
,,ftp://ftp.dlink.eu/Products/dwl/@archive/dwl-660/archive/driver_software/DWL-660.zip,4538623,2014-12-09 00:00:00,52da05da0018125673431e6032e6b6e002b21802,2e906b0383ab6b954d511c78b4a8afe3
,,ftp://ftp.dlink.eu/Products/dna/dna/driver_software/DNA_sw_2-0-2-0_all_en_20141125.zip,3723303,2015-03-25 00:00:00,5ca8e166f12941e4aed9733efadfefb4f0e61f4a,4ac9d11b92d6aba1cc1d2ccf1705903f
,,ftp://ftp.dlink.eu/Products/d/d-viewcam/driver_software/D-ViewCam_sw_1-6-11_eu_multi_20151104.zip,10417144,2015-11-05 00:00:00,0e012a450e63d5a0cf3ce662420371178c98308a,40339f43e3b395e2961879b05ae6bea6
,,ftp://ftp.dlink.eu/Products/des/@archive/des-3624i/archive/driver_software/des-3624i.zip,903751,2014-12-09 00:00:00,27e5862218a2f0792fc5d605303179d1918dc141,76d41ff63cb13736d6b8ddb00161ded9
cwm-100,,ftp://ftp.dlink.eu/Products/cwm/cwm-100/driver_software/CWM_DAP2690B_v3-11-R29-FWv311rc078.zip,2557799,2015-04-29 00:00:00,817837fa4818510588b6156e80003d9fd5ff9cb7,4390bcae549a00601966fc8e03ee4517
cwm-100,,ftp://ftp.dlink.eu/Products/cwm/cwm-100/driver_software/CWM-100_ver_1-01r0053_2015-03-30.zip,194276766,2016-04-20 12:27:00,148c1a7152cb43c0fc036de8c5d0acee26aa4bac,6199c741766d9284e0e68d68a34d4251
cwm-100,,ftp://ftp.dlink.eu/Products/cwm/cwm-100/driver_software/CWM-100_ver_1-02P01r0068_2015-08-21.zip,231250661,2016-04-20 12:13:00,8c0be6cd74d0f9c76377014ca149ecbd3c9edd1c,67012a73f646cb172a6a113b57c8f5ec
cwm-100,,ftp://ftp.dlink.eu/Products/cwm/cwm-100/driver_software/CWM_DAP2360B_v2-02-R14-FWv202rc021.zip,2575642,2015-04-29 00:00:00,2da242f5226248bcdd0682874204436c1e87b842,088ea8f739827e4385a9d172ef270054
cwm-100,,ftp://ftp.dlink.eu/Products/cwm/cwm-100/driver_software/CWM_DAP2695_v1-11-R33-FWv111rc044.zip,2582856,2015-04-29 00:00:00,78491beb1b039990605c343cd8b9b1cfdc3e7d4b,be251d2a60b0a16fe988531ba00a4b43
cwm-100,,ftp://ftp.dlink.eu/Products/cwm/cwm-100/driver_software/CWM_DAP3662_v1-00-R04-FWv100rc014.zip,2577726,2016-04-20 12:37:00,7e505447429c82b593b52c129c4e034a4854794b,f8dc74e5cf8dde58f0bcef276f68c485
cwm-100,,ftp://ftp.dlink.eu/Products/cwm/cwm-100/driver_software/CWM_DAP2660_v1-06-R25-FWv106rc025.zip,2558191,2015-04-29 00:00:00,e30aa419ce3d1dea42b7083078532f548df9447d,ac108e19398c4645556291a047f505bf
cwm-100,,ftp://ftp.dlink.eu/Products/cwm/cwm-100/driver_software/CWM_DAP2310B_v2-02-R17-FWv202rc019.zip,2743418,2015-04-29 00:00:00,23b41e6f48d0430395017dbc57d54e50df37a36f,150f37c6c9f4df48d103840fbaa49f2d
